SP,3500501,AGUAS DE LINDOIA,35230662,LUIZ BARBOSA EM
SP,3500501,AGUAS DE LINDOIA,35230674,IVAN GALVAO DE FRANCA PROF EMEIEF
SP,3500501,AGUAS DE LINDOIA,35271639,OSCAR DE CASTRO RIBEIRO EMEI
SP,3500501,AGUAS DE LINDOIA,35289097,PEDRO FACCHINI COMENDADOR EM
SP,3500501,AGUAS DE LINDOIA,35405425,ANTONIO LUIS DE ALMEIDA ESCOLA MUN DE EDUCACAO INFANTIL
SP,3500501,AGUAS DE LINDOIA,35405437,LETICIA DA SILVA SAMBO CRECHE MUNICIPAL
SP,3500501,AGUAS DE LINDOIA,35405449,VIDA E ESPERANCA CRECHE
SP,3500501,AGUAS DE LINDOIA,35405450,LYDIA RANGO D ARAGONA CRECHE MUNICIPAL
SP,3500501,AGUAS DE LINDOIA,35445939,PEQUENO LAR DA SAGRADA FAMILIA CRECHE
SP,3500501,AGUAS DE LINDOIA,35450273,SANTA IGNES CRECHE
SP,3500501,AGUAS DE LINDOIA,35451034,CREUSA APARECIDA MARIANO PROFA EMEF
SP,3500501,AGUAS DE LINDOIA,35451988,MADRE PAULINA NUCLEO III ESCOLA
SP,3500550,AGUAS DE SANTA BARBARA,35014515,PAULO DELICIO
SP,3500550,AGUAS DE SANTA BARBARA,35197646,AMELIA MENEZES CUSTODIO CRECHE MUNICIPAL
SP,3500550,AGUAS DE SANTA BARBARA,35206787,MIRIAN EPHIGENIA VON ZUBEN PROFA EM
SP,3500550,AGUAS DE SANTA BARBARA,35221200,PAULO APARECIDO SILVERIO EMEF
SP,3500600,AGUAS DE SAO PEDRO,35021234,ANGELO FRANZIN
SP,3500600,AGUAS DE SAO PEDRO,35068536,NUCLEO PROM SOCIAL ATENDIMENTO A 1 INFANCIA
SP,3500600,AGUAS DE SAO PEDRO,35215348,MARIA LUIZA FORNASIER FRANZIN ESC MUN DE ENS FUNDAMENTAL
SP,3500709,AGUDOS,35007997,MANOEL GONCALVES PROF
SP,3500709,AGUDOS,35025987,JOAO BATISTA DE AQUINO PE
SP,3500709,AGUDOS,35026001,MARIA BATAGLIN DELAZARI
SP,3500709,AGUDOS,35026037,JOAO BATISTA RIBEIRO
SP,3500709,AGUDOS,35049670,FARID FAYAD PROF
SP,3500709,AGUDOS,35064014,CLELIA NAPOLEONE CREMA EMEFEI
SP,3500709,AGUDOS,35082028,LYDIA THIEDE PROFA EMEFEI E CRECHE
SP,3500709,AGUDOS,35086605,MARIA LECTICIA SORMANI COGO PROFA EMEI CRECHE
SP,3500709,AGUDOS,35089148,SILVIA MARIA AMATO TRIGO PROFA EMEFEI
SP,3500709,AGUDOS,35091649,THEREZA YVONETI PERNI PROFA EMEI CRECHE
SP,3500709,AGUDOS,35098838,PILAR SILVA PADILHA EMEI CRECHE
SP,3500709,AGUDOS,35115770,SESI 114 CENTRO EDUCACIONAL
SP,3500709,AGUDOS,35115812,INSTITUTO NOSSA SENHORA DO SAGRADO CORACAO
SP,3500709,AGUDOS,35116208,ANTONIO TRAVAIN EMEI
SP,3500709,AGUDOS,35116221,TIA ZI UNIDADE DE ENSINO E EDUCACAO INFANTIL
SP,3500709,AGUDOS,35141082,SERELEPE ESCOLA DE EDUCACAO INFANTIL
SP,3500709,AGUDOS,35143121,SERELEPE COLEGIO ESC ENS FUND E MEDIO LUIZ ALFREDO BIGARELLI
SP,3500709,AGUDOS,35223955,SERGIO AUGUSTO MAININI PROFESSOR EMEFEI
SP,3500709,AGUDOS,35227158,CORONEL LEITE EMEF
